Time (s), Temperature (°F), Humidity (%)
1, 47.27,  50.81
2, 47.27,  50.85
3, 47.25,  50.83
4, 47.25,  50.82
5, 47.25,  50.90
6, 47.27,  50.88
7, 47.27,  50.92
8, 47.25,  50.93
9, 47.24,  50.93
10, 47.27,  50.97
11, 47.25,  50.99
12, 47.24,  51.01
13, 47.26,  51.01
14, 47.22,  51.04
15, 47.21,  51.03
16, 47.22,  51.01
17, 47.20,  51.07
18, 47.23,  51.09
19, 47.24,  51.09
20, 47.22,  51.10
21, 47.18,  51.08
22, 47.21,  51.12
23, 47.19,  51.11
24, 47.15,  51.10
25, 47.16,  51.17
26, 47.16,  51.18
27, 47.13,  51.16
28, 47.19,  51.14
29, 47.14,  51.17
30, 47.15,  51.20
31, 47.14,  51.18
32, 47.14,  51.21
33, 47.13,  51.22
34, 47.19,  51.28
35, 47.14,  51.28
36, 47.16,  51.30
37, 47.14,  51.27
38, 47.15,  51.37
39, 47.11,  51.38
40, 47.14,  51.34
41, 47.11,  51.36
42, 47.09,  51.36
43, 47.12,  51.38
44, 47.11,  51.36
45, 47.10,  51.35
46, 47.09,  51.32
47, 47.08,  51.34
48, 47.09,  51.30
49, 47.12,  51.31
50, 47.12,  51.29
51, 47.11,  51.31
52, 47.07,  51.31
53, 47.08,  51.31
54, 47.06,  51.35
55, 47.07,  51.34
56, 47.08,  51.34
57, 47.07,  51.34
58, 47.04,  51.35
59, 47.06,  51.38
60, 47.04,  51.36
61, 47.05,  51.39
62, 47.07,  51.40
63, 47.03,  51.41
64, 47.03,  51.40
65, 47.05,  51.41
66, 47.08,  51.43
67, 47.01,  51.46
68, 47.06,  51.41
69, 47.00,  51.47
70, 47.02,  51.45
71, 46.99,  51.50
72, 47.04,  51.53
73, 46.98,  51.48
74, 47.00,  51.50
75, 46.97,  51.56
76, 46.97,  51.52
77, 46.95,  51.53
78, 46.95,  51.53
79, 46.97,  51.56
80, 46.95,  51.57
81, 46.91,  51.56
82, 46.94,  51.60
83, 46.90,  51.61
84, 46.93,  51.64
85, 46.95,  51.66
86, 46.94,  51.68
87, 46.95,  51.69
88, 46.89,  51.63
89, 46.93,  51.69
90, 46.90,  51.68
91, 46.88,  51.69
92, 46.90,  51.72
93, 46.88,  51.72
94, 46.86,  51.76
95, 46.88,  51.76
96, 46.88,  51.73
97, 46.88,  51.77
98, 46.89,  51.78
99, 46.89,  51.87
100, 46.88,  51.84
101, 46.86,  51.85
102, 46.87,  51.84
103, 46.85,  51.90
104, 46.85,  51.95
105, 46.87,  51.93
106, 46.87,  51.98
107, 46.88,  51.99
108, 46.88,  51.95
109, 46.86,  51.99
110, 46.85,  51.98
111, 46.88,  51.98
112, 46.84,  52.00
113, 46.86,  52.03
114, 46.85,  51.99
115, 46.85,  52.04
116, 46.83,  52.01
117, 46.85,  52.02
118, 46.82,  52.03
119, 46.84,  52.02
120, 46.81,  52.03
121, 46.84,  52.07
122, 46.78,  52.01
123, 46.78,  52.06
124, 46.84,  52.09
125, 46.80,  52.08
126, 46.81,  52.09
127, 46.81,  52.10
128, 46.77,  52.12
129, 46.81,  52.12
130, 46.80,  52.18
131, 46.78,  52.17
132, 46.75,  52.20
133, 46.81,  52.24
134, 46.75,  52.20
135, 46.79,  52.29
136, 46.74,  52.22
137, 46.72,  52.27
138, 46.77,  52.26
139, 46.75,  52.28
140, 46.79,  52.34
141, 46.77,  52.35
142, 46.81,  52.34
143, 46.78,  52.38
144, 46.78,  52.37
145, 46.79,  52.38
146, 46.76,  52.38
147, 46.79,  52.40
148, 46.77,  52.39
149, 46.76,  52.43
150, 46.77,  52.42
151, 46.74,  52.43
152, 46.80,  52.48
153, 46.78,  52.47
154, 46.78,  52.46
155, 46.78,  52.47
156, 46.83,  52.52
157, 46.83,  52.56
158, 46.84,  52.56
159, 46.84,  52.60
160, 46.89,  52.58
161, 46.91,  52.60
162, 46.90,  52.53
163, 46.88,  52.56
164, 46.89,  52.59
165, 46.88,  52.53
166, 46.87,  52.52
167, 46.91,  52.53
168, 46.92,  52.58
169, 46.94,  52.60
170, 46.96,  52.63
171, 46.99,  52.66
172, 47.06,  52.69
173, 47.04,  52.63
174, 47.07,  52.59
175, 47.15,  52.67
176, 47.19,  52.67
177, 47.16,  52.64
178, 47.24,  52.71
179, 47.25,  52.63
180, 47.25,  52.62
181, 47.29,  52.64
182, 47.34,  52.60
183, 47.38,  52.62
184, 47.40,  52.55
185, 47.42,  52.53
186, 47.44,  52.51
187, 47.46,  52.47
188, 47.51,  52.41
189, 47.54,  52.45
190, 47.57,  52.42
191, 47.58,  52.36
192, 47.54,  52.34
193, 47.58,  52.33
194, 47.62,  52.29
195, 47.60,  52.27
196, 47.64,  52.21
197, 47.67,  52.25
198, 47.67,  52.22
199, 47.69,  52.21
200, 47.70,  52.15
201, 47.72,  52.12
202, 47.76,  52.10
203, 47.77,  52.07
204, 47.78,  52.09
205, 47.84,  52.07
206, 47.84,  52.03
207, 47.89,  51.98
208, 47.86,  51.98
209, 47.87,  51.94
210, 47.88,  51.95
211, 47.92,  51.89
212, 47.90,  51.87
213, 47.94,  51.90
214, 47.98,  51.88
215, 48.00,  51.85
216, 47.99,  51.81
217, 47.98,  51.73
218, 48.01,  51.69
219, 48.00,  51.65
220, 48.04,  51.56
221, 48.03,  51.55
222, 48.04,  51.50
223, 48.03,  51.43
224, 48.00,  51.34
225, 48.01,  51.31
226, 48.00,  51.24
227, 48.02,  51.17
228, 48.01,  51.13
229, 47.95,  51.07
230, 48.00,  51.05
231, 47.94,  51.01
232, 47.97,  51.03
233, 47.96,  51.00
234, 47.96,  50.96
235, 47.96,  50.96
236, 47.93,  50.91
237, 47.93,  50.88
238, 47.90,  50.87
239, 47.88,  50.89
240, 47.88,  50.85
241, 47.88,  50.89
242, 47.86,  50.89
243, 47.85,  50.89
244, 47.80,  50.88
245, 47.82,  50.95
246, 47.77,  50.92
247, 47.82,  50.94
248, 47.79,  51.02
249, 47.79,  51.01
250, 47.82,  51.10
251, 47.83,  51.09
252, 47.82,  51.10
253, 47.86,  51.12
254, 47.85,  51.06
255, 47.87,  51.12
256, 47.91,  51.11
257, 47.92,  51.12
258, 47.95,  51.13
259, 47.96,  51.20
260, 47.97,  51.21
261, 48.02,  51.21
262, 48.03,  51.23
263, 48.00,  51.25
264, 48.06,  51.26
265, 48.00,  51.25
266, 48.04,  51.27
267, 48.06,  51.23
268, 48.07,  51.23
269, 48.09,  51.22
270, 48.09,  51.23
271, 48.07,  51.17
272, 48.08,  51.15
273, 48.10,  51.09
274, 48.09,  51.04
275, 48.04,  51.05
276, 48.04,  50.98
277, 48.01,  50.91
278, 48.01,  50.92
279, 47.95,  50.85
280, 47.94,  50.87
281, 47.93,  50.87
282, 47.96,  50.92
283, 47.92,  50.83
284, 47.94,  50.83
285, 47.90,  50.81
286, 47.87,  50.81
287, 47.82,  50.79
288, 47.79,  50.83
289, 47.79,  50.88
290, 47.81,  50.90
291, 47.83,  50.95
292, 47.85,  51.05
293, 47.88,  51.15
294, 47.88,  51.21
295, 47.95,  51.31
296, 48.00,  51.36
297, 48.00,  51.41
298, 48.02,  51.36
299, 48.03,  51.26
300, 48.07,  51.31
